年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,其他,2,60(含)-65歲,7964,41714173
201401,65000000,其他,2,65(含)-70歲,2318,13585539
201401,65000000,其他,2,70(含)-75歲,774,5271172
201401,65000000,其他,2,75(含)-80歲,184,988319
201401,65000000,其他,2,80(含)歲以上,573,3546548
201401,68000000,食,2,未滿20歲,394,376227
201401,68000000,食,2,20(含)-25歲,11469,15133567
201401,68000000,食,2,25(含)-30歲,37372,58469762
201401,68000000,食,2,30(含)-35歲,73260,123408269
201401,68000000,食,2,35(含)-40歲,94862,161972733
201401,68000000,食,2,40(含)-45歲,98750,172336027
201401,68000000,食,2,45(含)-50歲,86170,160749816
201401,68000000,食,2,50(含)-55歲,62668,122067693
201401,68000000,食,2,55(含)-60歲,39575,76495904
201401,68000000,食,2,60(含)-65歲,20858,37172033
201401,68000000,食,2,65(含)-70歲,6600,11311577
201401,68000000,食,2,70(含)-75歲,2248,4454950
201401,68000000,食,2,75(含)-80歲,613,1000397
201401,68000000,食,2,80(含)歲以上,1122,2040744
201401,68000000,衣,2,未滿20歲,120,249827
201401,68000000,衣,2,20(含)-25歲,3949,9042127
201401,68000000,衣,2,25(含)-30歲,13111,30774377
201401,68000000,衣,2,30(含)-35歲,28388,63686304
201401,68000000,衣,2,35(含)-40歲,36058,85007086
201401,68000000,衣,2,40(含)-45歲,30552,78973772
201401,68000000,衣,2,45(含)-50歲,21353,65106112
201401,68000000,衣,2,50(含)-55歲,11425,38895688
201401,68000000,衣,2,55(含)-60歲,5612,20829691
201401,68000000,衣,2,60(含)-65歲,2163,8610238
201401,68000000,衣,2,65(含)-70歲,535,2176565
201401,68000000,衣,2,70(含)-75歲,141,623085
201401,68000000,衣,2,75(含)-80歲,36,162642
201401,68000000,衣,2,80(含)歲以上,455,1371133
201401,68000000,住,2,未滿20歲,40,78487
201401,68000000,住,2,20(含)-25歲,1694,6072883
201401,68000000,住,2,25(含)-30歲,5456,22668981
201401,68000000,住,2,30(含)-35歲,10552,48154647
201401,68000000,住,2,35(含)-40歲,13367,65130340
201401,68000000,住,2,40(含)-45歲,14305,73407687
201401,68000000,住,2,45(含)-50歲,12736,66029396
201401,68000000,住,2,50(含)-55歲,9268,53427952
201401,68000000,住,2,55(含)-60歲,5876,32205147
201401,68000000,住,2,60(含)-65歲,2761,14837842
201401,68000000,住,2,65(含)-70歲,839,4096114
201401,68000000,住,2,70(含)-75歲,256,1123122
201401,68000000,住,2,75(含)-80歲,67,343629
201401,68000000,住,2,80(含)歲以上,181,919880
201401,68000000,行,2,未滿20歲,514,509350
201401,68000000,行,2,20(含)-25歲,13837,12696814
201401,68000000,行,2,25(含)-30歲,38508,41270510
201401,68000000,行,2,30(含)-35歲,57822,71382425
201401,68000000,行,2,35(含)-40歲,63146,82171500
201401,68000000,行,2,40(含)-45歲,59878,83947145
201401,68000000,行,2,45(含)-50歲,51091,70861054
201401,68000000,行,2,50(含)-55歲,37506,52902847
201401,68000000,行,2,55(含)-60歲,21980,32890766
201401,68000000,行,2,60(含)-65歲,9718,15116919
201401,68000000,行,2,65(含)-70歲,2417,5149984
201401,68000000,行,2,70(含)-75歲,777,1546886
201401,68000000,行,2,75(含)-80歲,167,386999
201401,68000000,行,2,80(含)歲以上,562,908104
201401,68000000,文教康樂,2,未滿20歲,212,679975
201401,68000000,文教康樂,2,20(含)-25歲,4424,14244334
201401,68000000,文教康樂,2,25(含)-30歲,11593,47206381
201401,68000000,文教康樂,2,30(含)-35歲,16993,74281263
201401,68000000,文教康樂,2,35(含)-40歲,19323,91916400
201401,68000000,文教康樂,2,40(含)-45歲,19433,104029458
201401,68000000,文教康樂,2,45(含)-50歲,15581,89791473
201401,68000000,文教康樂,2,50(含)-55歲,9573,61750795
201401,68000000,文教康樂,2,55(含)-60歲,5031,30884948
201401,68000000,文教康樂,2,60(含)-65歲,2469,16805722
201401,68000000,文教康樂,2,65(含)-70歲,680,3843959
201401,68000000,文教康樂,2,70(含)-75歲,233,1190764
201401,68000000,文教康樂,2,75(含)-80歲,122,437645
201401,68000000,文教康樂,2,80(含)歲以上,325,2483462
201401,68000000,百貨,2,未滿20歲,554,1476231
201401,68000000,百貨,2,20(含)-25歲,13980,35048812
201401,68000000,百貨,2,25(含)-30歲,42840,117891307
201401,68000000,百貨,2,30(含)-35歲,71196,204256029
201401,68000000,百貨,2,35(含)-40歲,82247,254404748
201401,68000000,百貨,2,40(含)-45歲,78799,268573207
201401,68000000,百貨,2,45(含)-50歲,62052,228812155
201401,68000000,百貨,2,50(含)-55歲,38608,159066679
201401,68000000,百貨,2,55(含)-60歲,21263,91626419
201401,68000000,百貨,2,60(含)-65歲,10014,41203609
201401,68000000,百貨,2,65(含)-70歲,2719,10614681
201401,68000000,百貨,2,70(含)-75歲,976,3722172
201401,68000000,百貨,2,75(含)-80歲,289,1262988
201401,68000000,百貨,2,80(含)歲以上,639,2274317
201401,68000000,其他,2,未滿20歲,216,342227
201401,68000000,其他,2,20(含)-25歲,7178,21604204
201401,68000000,其他,2,25(含)-30歲,22663,73210879
201401,68000000,其他,2,30(含)-35歲,38211,136964510
201401,68000000,其他,2,35(含)-40歲,40571,165906247
201401,68000000,其他,2,40(含)-45歲,37305,176266537
201401,68000000,其他,2,45(含)-50歲,31538,170028266
201401,68000000,其他,2,50(含)-55歲,22570,139437157
201401,68000000,其他,2,55(含)-60歲,12714,82020969
201401,68000000,其他,2,60(含)-65歲,6257,43342298
201401,68000000,其他,2,65(含)-70歲,1750,10853798
201401,68000000,其他,2,70(含)-75歲,621,4586844
201401,68000000,其他,2,75(含)-80歲,150,787643
201401,68000000,其他,2,80(含)歲以上,563,2988332
