年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,住,1,50(含)-55歲,8792,44886519
201401,67000000,住,1,55(含)-60歲,5620,31185750
201401,67000000,住,1,60(含)-65歲,3475,21512156
201401,67000000,住,1,65(含)-70歲,1228,6931585
201401,67000000,住,1,70(含)-75歲,543,2566680
201401,67000000,住,1,75(含)-80歲,211,732043
201401,67000000,住,1,80(含)歲以上,175,1669341
201401,67000000,行,1,未滿20歲,667,921314
201401,67000000,行,1,20(含)-25歲,11243,8266868
201401,67000000,行,1,25(含)-30歲,50332,43155916
201401,67000000,行,1,30(含)-35歲,87199,86613629
201401,67000000,行,1,35(含)-40歲,91340,105123593
201401,67000000,行,1,40(含)-45歲,84208,107181907
201401,67000000,行,1,45(含)-50歲,77541,99952651
201401,67000000,行,1,50(含)-55歲,63832,86783879
201401,67000000,行,1,55(含)-60歲,43977,58198955
201401,67000000,行,1,60(含)-65歲,25739,34117457
201401,67000000,行,1,65(含)-70歲,9004,11205895
201401,67000000,行,1,70(含)-75歲,3620,4405970
201401,67000000,行,1,75(含)-80歲,1224,1332156
201401,67000000,行,1,80(含)歲以上,927,1074012
201401,67000000,文教康樂,1,未滿20歲,120,1062921
201401,67000000,文教康樂,1,20(含)-25歲,2543,7458920
201401,67000000,文教康樂,1,25(含)-30歲,8715,27146238
201401,67000000,文教康樂,1,30(含)-35歲,11403,45468544
201401,67000000,文教康樂,1,35(含)-40歲,10372,49361319
201401,67000000,文教康樂,1,40(含)-45歲,9410,51847588
201401,67000000,文教康樂,1,45(含)-50歲,8178,49583298
201401,67000000,文教康樂,1,50(含)-55歲,5729,42032057
201401,67000000,文教康樂,1,55(含)-60歲,3567,28781891
201401,67000000,文教康樂,1,60(含)-65歲,1962,15622701
201401,67000000,文教康樂,1,65(含)-70歲,716,6644706
201401,67000000,文教康樂,1,70(含)-75歲,303,2238098
201401,67000000,文教康樂,1,75(含)-80歲,135,1514828
201401,67000000,文教康樂,1,80(含)歲以上,165,1219630
201401,67000000,百貨,1,未滿20歲,129,229043
201401,67000000,百貨,1,20(含)-25歲,2747,7273886
201401,67000000,百貨,1,25(含)-30歲,10696,27954597
201401,67000000,百貨,1,30(含)-35歲,16987,47394614
201401,67000000,百貨,1,35(含)-40歲,16464,44087357
201401,67000000,百貨,1,40(含)-45歲,13940,47345401
201401,67000000,百貨,1,45(含)-50歲,12285,37555748
201401,67000000,百貨,1,50(含)-55歲,8947,30714565
201401,67000000,百貨,1,55(含)-60歲,5563,18995993
201401,67000000,百貨,1,60(含)-65歲,3609,11787151
201401,67000000,百貨,1,65(含)-70歲,1425,5203236
201401,67000000,百貨,1,70(含)-75歲,746,2196449
201401,67000000,百貨,1,75(含)-80歲,345,889285
201401,67000000,百貨,1,80(含)歲以上,201,668885
201401,67000000,其他,1,未滿20歲,96,507534
201401,67000000,其他,1,20(含)-25歲,2131,9114324
201401,67000000,其他,1,25(含)-30歲,9079,44484614
201401,67000000,其他,1,30(含)-35歲,16169,78582350
201401,67000000,其他,1,35(含)-40歲,16837,80503775
201401,67000000,其他,1,40(含)-45歲,15022,78047351
201401,67000000,其他,1,45(含)-50歲,13588,68526237
201401,67000000,其他,1,50(含)-55歲,10129,56315461
201401,67000000,其他,1,55(含)-60歲,6636,47878440
201401,67000000,其他,1,60(含)-65歲,3853,23361193
201401,67000000,其他,1,65(含)-70歲,1333,7833757
201401,67000000,其他,1,70(含)-75歲,603,3754721
201401,67000000,其他,1,75(含)-80歲,243,1591437
201401,67000000,其他,1,80(含)歲以上,286,1567258
201401,64000000,食,1,未滿20歲,507,1275161
201401,64000000,食,1,20(含)-25歲,7788,12255810
201401,64000000,食,1,25(含)-30歲,31825,55130981
201401,64000000,食,1,30(含)-35歲,62822,114922170
201401,64000000,食,1,35(含)-40歲,76272,148485504
201401,64000000,食,1,40(含)-45歲,79720,165842007
201401,64000000,食,1,45(含)-50歲,78903,174405181
201401,64000000,食,1,50(含)-55歲,66096,145055264
201401,64000000,食,1,55(含)-60歲,50239,114604732
